date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:21:53	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2021%20Feb%202025%2012:21:52%20GMT	https://kinglion.wegic.app/robots.txt		(from )
09:21:53	55802/55802	---MC-	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202025%2012:21:53%20GMT	https://kinglion.wegic.app/	C:/Meus%20Sites/site%20kinglion/kinglion.wegic.app/index.html	(from )
09:21:54	108791/108791	---M--	200	added ('OK')	application/x-www-form-urlencoded	etag:%2274f1353f10c500261ab2d65a5121c986%22	https://cdn.wegic.ai/assets/onepage/thread/icon/135acd60-5f14-4567-b7aa-f880132becb0.png	C:/Meus%20Sites/site%20kinglion/cdn.wegic.ai/assets/onepage/thread/icon/135acd60-5f14-4567-b7aa-f880132becb0.png	(from https://kinglion.wegic.app/)
09:21:56	717909/717909	---M--	200	added ('OK')	image/png	etag:%22bc543a47f1b936344c2d9121dd26f8b2%22	https://cdn.wegic.ai/assets/onepage/thread/thumbnail/1867204374601216001/1740088297238.png	C:/Meus%20Sites/site%20kinglion/cdn.wegic.ai/assets/onepage/thread/thumbnail/1867204374601216001/1740088297238.png	(from https://kinglion.wegic.app/)
09:21:56	20636/20636	---M--	200	added ('OK')	image/webp	date:Fri,%2021%20Feb%202025%2012:21:57%20GMT	https://cdn.wegic.ai/assets/onepage/img/087b735c-12ae-499c-8d16-dced7f8c99d1.jpg?args=q%3A85%2Fdpr%3A2%2Frs%3Afit%3A320%3A320%2Fsm%3A1&format=webp	C:/Meus%20Sites/site%20kinglion/cdn.wegic.ai/assets/onepage/img/087b735c-12ae-499c-8d16-dced7f8c99d1e711.webp	(from https://kinglion.wegic.app/)
09:21:57	26442/26442	---M--	200	added ('OK')	image/webp	date:Fri,%2021%20Feb%202025%2012:21:57%20GMT	https://cdn.wegic.ai/assets/onepage/img/051483ae-32e3-4a6c-97ce-16410f2841c3.jpg?args=q%3A85%2Fdpr%3A2%2Frs%3Afit%3A320%3A320%2Fsm%3A1&format=webp	C:/Meus%20Sites/site%20kinglion/cdn.wegic.ai/assets/onepage/img/051483ae-32e3-4a6c-97ce-16410f2841c3e711.webp	(from https://kinglion.wegic.app/)
09:21:57	17162/17162	---M--	200	added ('OK')	image/webp	date:Fri,%2021%20Feb%202025%2012:21:57%20GMT	https://cdn.wegic.ai/assets/onepage/img/bf741e55-9c13-499d-9e51-f3e7b5a4dba7.jpg?args=q%3A85%2Fdpr%3A2%2Frs%3Afit%3A320%3A320%2Fsm%3A1&format=webp	C:/Meus%20Sites/site%20kinglion/cdn.wegic.ai/assets/onepage/img/bf741e55-9c13-499d-9e51-f3e7b5a4dba7e711.webp	(from https://kinglion.wegic.app/)
09:21:57	37258/37258	---M--	200	added ('OK')	image/webp	date:Fri,%2021%20Feb%202025%2012:21:58%20GMT	https://cdn.wegic.ai/assets/onepage/img/72fc205a-774d-429f-90b6-12193e7fc910.jpg?args=q%3A85%2Fdpr%3A2%2Frs%3Afit%3A320%3A320%2Fsm%3A1&format=webp	C:/Meus%20Sites/site%20kinglion/cdn.wegic.ai/assets/onepage/img/72fc205a-774d-429f-90b6-12193e7fc910e711.webp	(from https://kinglion.wegic.app/)
09:21:58	46666/46666	---M--	200	added ('OK')	image/webp	date:Fri,%2021%20Feb%202025%2012:21:58%20GMT	https://cdn.wegic.ai/assets/onepage/img/19a6f813-57bb-4a20-a142-d35e02af23ff.jpg?args=q%3A85%2Fdpr%3A2%2Frs%3Afit%3A320%3A320%2Fsm%3A1&format=webp	C:/Meus%20Sites/site%20kinglion/cdn.wegic.ai/assets/onepage/img/19a6f813-57bb-4a20-a142-d35e02af23ffe711.webp	(from https://kinglion.wegic.app/)
09:21:58	17850/17850	---M--	200	added ('OK')	image/webp	date:Fri,%2021%20Feb%202025%2012:21:58%20GMT	https://cdn.wegic.ai/assets/onepage/img/6bef3db3-70c2-43b6-8ef1-8c4d7365904f.jpg?args=q%3A85%2Fdpr%3A2%2Frs%3Afit%3A320%3A320%2Fsm%3A1&format=webp	C:/Meus%20Sites/site%20kinglion/cdn.wegic.ai/assets/onepage/img/6bef3db3-70c2-43b6-8ef1-8c4d7365904fe711.webp	(from https://kinglion.wegic.app/)
09:21:58	41978/41978	---M--	200	added ('OK')	image/webp	date:Fri,%2021%20Feb%202025%2012:21:58%20GMT	https://cdn.wegic.ai/assets/onepage/img/358de582-fef1-4b30-9923-f86c89ad1cd2.png?args=q%3A85%2Fdpr%3A2%2Frs%3Afit%3A320%3A320%2Fsm%3A1&format=webp	C:/Meus%20Sites/site%20kinglion/cdn.wegic.ai/assets/onepage/img/358de582-fef1-4b30-9923-f86c89ad1cd2e711.webp	(from https://kinglion.wegic.app/)
09:21:58	33014/33014	---M--	200	added ('OK')	image/webp	date:Fri,%2021%20Feb%202025%2012:21:59%20GMT	https://cdn.wegic.ai/assets/onepage/img/ca58bda6-2fcf-4b2c-9213-55ba645da9d6.jpg?args=q%3A85%2Fdpr%3A2%2Frs%3Afit%3A320%3A320%2Fsm%3A1&format=webp	C:/Meus%20Sites/site%20kinglion/cdn.wegic.ai/assets/onepage/img/ca58bda6-2fcf-4b2c-9213-55ba645da9d6e711.webp	(from https://kinglion.wegic.app/)
09:21:59	18178/18178	---M--	200	added ('OK')	image/webp	date:Fri,%2021%20Feb%202025%2012:21:59%20GMT	https://cdn.wegic.ai/assets/onepage/img/b223888b-6c03-4ec0-b773-3135efe8ee6f.png?args=q%3A85%2Fdpr%3A2%2Frs%3Afit%3A320%3A320%2Fsm%3A1&format=webp	C:/Meus%20Sites/site%20kinglion/cdn.wegic.ai/assets/onepage/img/b223888b-6c03-4ec0-b773-3135efe8ee6fe711.webp	(from https://kinglion.wegic.app/)
